,Age,Fare,Survived,Pclass_2,Pclass_3,Sex_male,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,Embarked_Q,Embarked_S
389,17.0,12.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,36.0,120.0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
391,21.0,7.7958,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
392,28.0,7.925,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
393,23.0,113.275,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
394,24.0,16.7,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
395,22.0,7.7958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
396,31.0,7.8542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
397,46.0,26.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
398,23.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
399,28.0,12.65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
400,39.0,7.925,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
401,26.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
402,21.0,9.825,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
403,28.0,15.85,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
404,20.0,8.6625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
405,34.0,21.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
406,51.0,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
407,3.0,18.75,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
408,21.0,7.775,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
412,33.0,90.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
414,44.0,7.925,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
416,34.0,32.5,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
417,18.0,13.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
418,30.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
419,10.0,24.15,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
421,21.0,7.7333,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
422,29.0,7.875,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
423,28.0,14.4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1
424,18.0,20.2125,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
426,28.0,26.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
427,19.0,26.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
429,32.0,8.05,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
430,28.0,26.55,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
432,42.0,26.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
433,17.0,7.125,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
434,50.0,55.9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
435,14.0,120.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
436,21.0,34.375,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
437,24.0,18.75,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
438,64.0,263.0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1
439,31.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
440,45.0,26.25,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
441,20.0,9.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
442,25.0,7.775,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
443,28.0,13.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
445,4.0,81.8583,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
446,13.0,19.5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
447,34.0,26.55,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
448,5.0,19.2583,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
449,52.0,30.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
450,36.0,27.75,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1
452,30.0,27.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
453,49.0,89.1042,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
455,29.0,7.8958,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
456,65.0,26.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
458,50.0,10.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
460,48.0,26.55,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
461,34.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
462,47.0,38.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
463,48.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
465,38.0,7.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
467,56.0,26.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
469,0.75,19.2583,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
471,38.0,8.6625,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
472,33.0,27.75,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
473,23.0,13.7917,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
474,22.0,9.8375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
476,34.0,21.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
477,29.0,7.0458,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
478,22.0,7.5208,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
479,2.0,12.2875,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
480,9.0,46.9,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
482,50.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
483,63.0,9.5875,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
484,25.0,91.0792,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
486,35.0,90.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
487,58.0,29.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
488,30.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
489,9.0,15.9,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
491,21.0,7.25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
492,55.0,30.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
493,71.0,49.5042,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
494,21.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
496,54.0,78.2667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
498,25.0,151.55,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
499,24.0,7.7958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
500,17.0,8.6625,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
501,21.0,7.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
503,37.0,9.5875,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
504,16.0,86.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
505,18.0,108.9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
506,33.0,26.0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
508,28.0,22.525,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
509,26.0,56.4958,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
510,29.0,7.75,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
512,36.0,26.2875,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
513,54.0,59.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
514,24.0,7.4958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
515,47.0,34.0208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
516,34.0,10.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
518,36.0,26.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
519,32.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
520,30.0,93.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
521,22.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
523,44.0,57.9792,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
525,40.5,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
526,50.0,10.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
528,39.0,7.925,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
529,23.0,11.5,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
530,2.0,26.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
532,17.0,7.2292,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
534,30.0,8.6625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
535,7.0,26.25,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
536,45.0,26.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
537,30.0,106.425,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,22.0,49.5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
540,36.0,71.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
541,9.0,31.275,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
542,11.0,31.275,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
543,32.0,26.0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
544,50.0,106.425,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
545,64.0,26.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
546,19.0,26.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
548,33.0,20.525,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
549,8.0,36.75,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
550,17.0,110.8833,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
551,27.0,26.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
553,22.0,7.225,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
554,22.0,7.775,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
555,62.0,26.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
556,48.0,39.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
558,39.0,79.65,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
559,36.0,17.4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
561,40.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
562,28.0,13.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
565,24.0,24.15,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
566,19.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
567,29.0,21.075,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
569,32.0,7.8542,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
570,62.0,10.5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
571,53.0,51.4792,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
572,36.0,26.3875,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
574,16.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
575,19.0,14.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
576,34.0,13.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
577,39.0,55.9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
579,32.0,7.925,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
580,25.0,30.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
581,39.0,110.8833,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
582,54.0,26.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
583,36.0,40.125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
585,18.0,79.65,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
586,47.0,15.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
587,60.0,79.2,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
588,22.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
590,35.0,7.125,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
591,52.0,78.2667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
592,47.0,7.25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
594,37.0,26.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
595,36.0,24.15,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
597,49.0,0.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
599,49.0,56.9292,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
600,24.0,27.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
603,44.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
604,35.0,26.55,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
605,36.0,15.55,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
606,30.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
607,27.0,30.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
608,22.0,41.5792,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
609,40.0,153.4625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
610,39.0,31.275,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
614,35.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
615,24.0,65.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
616,34.0,14.4,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
617,26.0,16.1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
618,4.0,39.0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
619,26.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
620,27.0,14.4542,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
621,42.0,52.5542,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
622,20.0,15.7417,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
623,21.0,7.8542,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
624,21.0,16.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
625,61.0,32.3208,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
626,57.0,12.35,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
627,21.0,77.9583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
628,26.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
630,80.0,30.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
631,51.0,7.0542,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
632,32.0,30.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
634,9.0,27.9,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
635,28.0,13.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
636,32.0,7.925,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
637,31.0,26.25,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
638,41.0,39.6875,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
640,20.0,7.8542,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
641,24.0,69.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642,2.0,27.9,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
644,0.75,19.2583,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
645,48.0,76.7292,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
646,19.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
647,56.0,35.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
649,23.0,7.55,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
651,18.0,23.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
652,21.0,8.4333,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
654,18.0,6.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
655,24.0,73.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
657,32.0,15.5,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
658,23.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
659,58.0,113.275,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
660,50.0,133.65,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
661,40.0,7.225,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
662,47.0,25.5875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
663,36.0,7.4958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
664,20.0,7.925,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
665,32.0,73.5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
666,25.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
668,43.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
670,40.0,39.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
671,31.0,52.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
672,70.0,10.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
673,31.0,13.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
675,18.0,7.775,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
676,24.5,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
677,18.0,9.8417,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
678,43.0,46.9,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
679,36.0,512.3292,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
681,27.0,76.7292,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
682,20.0,9.225,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
683,14.0,46.9,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1
684,60.0,39.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
685,25.0,41.5792,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
686,14.0,39.6875,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
687,19.0,10.1708,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
688,18.0,7.7958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
689,15.0,211.3375,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
690,31.0,57.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
691,4.0,13.4167,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
693,25.0,7.225,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
694,60.0,26.55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
695,52.0,13.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
696,44.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
698,49.0,110.8833,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
699,42.0,7.65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
700,18.0,227.525,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
701,35.0,26.2875,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
702,18.0,14.4542,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
703,25.0,7.7417,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
704,26.0,7.8542,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
705,39.0,26.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
706,45.0,13.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
707,42.0,26.2875,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
708,22.0,151.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
710,24.0,49.5042,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
712,48.0,52.0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
713,29.0,9.4833,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
714,52.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
715,19.0,7.65,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
716,38.0,227.525,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
717,27.0,10.5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
719,33.0,7.775,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
720,6.0,33.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
721,17.0,7.0542,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
722,34.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
723,50.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
724,27.0,53.1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
725,20.0,8.6625,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
726,30.0,21.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
728,25.0,26.0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
729,25.0,7.925,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
730,29.0,211.3375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
731,11.0,18.7875,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
733,23.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
734,23.0,13.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
735,28.5,16.1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
736,48.0,34.375,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1
737,35.0,512.3292,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
741,36.0,78.85,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
742,21.0,262.375,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
743,24.0,16.1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
744,31.0,7.925,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
745,70.0,71.0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
746,16.0,20.25,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1
747,30.0,13.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
748,19.0,53.1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
749,31.0,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
750,4.0,23.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
751,6.0,12.475,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
752,33.0,9.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
753,23.0,7.8958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
754,48.0,65.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
755,0.67,14.5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1
756,28.0,7.7958,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
757,18.0,11.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
758,34.0,8.05,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
759,33.0,86.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
761,41.0,7.125,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
762,20.0,7.2292,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
763,36.0,120.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
764,16.0,7.775,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
765,51.0,77.9583,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
767,30.5,7.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
769,32.0,8.3625,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
770,24.0,9.5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
771,48.0,7.8542,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
772,57.0,10.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
774,54.0,23.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
775,18.0,7.75,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
777,5.0,12.475,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
779,43.0,211.3375,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
780,13.0,7.2292,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781,17.0,57.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
782,29.0,30.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
